"Info Type"	Frequency	"Group ID"
"Friend"	0.944444444444	2
"Like / Interest"	0.944444444444	2
"Check-in"	0.944444444444	2
"Status Update"	0.944444444444	2
"Photo Album"	0.944444444444	2
"Photo"	0.944444444444	2
"Profile Info"	0.571428571429	1
"Friend"	0.571428571429	1
"Like / Interest"	0.571428571429	1
"Check-in"	0.571428571429	1
"Status Update"	0.571428571429	1
"Photo Album"	0.571428571429	1
"Photo"	0.571428571429	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	0.904761904762	1
"Friend"	0.904761904762	1
"Like / Interest"	0.904761904762	1
"Check-in"	0.904761904762	1
"Status Update"	0.904761904762	1
"Photo Album"	0.904761904762	1
"Photo"	0.904761904762	1
"Profile Info"	0.315789473684	2
"Friend"	0.315789473684	2
"Like / Interest"	0.315789473684	2
"Check-in"	0.315789473684	2
"Status Update"	0.315789473684	2
"Photo Album"	0.315789473684	2
"Photo"	0.315789473684	2
"Profile Info"	0.5625	1
"Friend"	0.5625	1
"Like / Interest"	0.5625	1
"Check-in"	0.5625	1
"Status Update"	0.5625	1
"Photo Album"	0.5625	1
"Photo"	0.5625	1
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	0.952380952381	1
"Friend"	0.952380952381	1
"Like / Interest"	0.952380952381	1
"Check-in"	0.952380952381	1
"Status Update"	0.952380952381	1
"Photo Album"	0.952380952381	1
"Photo"	0.952380952381	1
"Profile Info"	0.888888888889	2
"Friend"	0.888888888889	2
"Like / Interest"	0.888888888889	2
"Check-in"	0.888888888889	2
"Status Update"	0.888888888889	2
"Photo Album"	0.888888888889	2
"Photo"	0.888888888889	2
"Profile Info"	0.95	2
"Friend"	0.95	2
"Like / Interest"	0.95	2
"Check-in"	0.95	2
"Status Update"	0.95	2
"Photo Album"	0.95	2
"Photo"	0.95	2
"Profile Info"	0.380952380952	1
"Friend"	0.380952380952	1
"Like / Interest"	0.380952380952	1
"Check-in"	0.380952380952	1
"Status Update"	0.380952380952	1
"Photo Album"	0.380952380952	1
"Photo"	0.380952380952	1
"Profile Info"	0.571428571429	1
"Friend"	0.571428571429	1
"Like / Interest"	0.571428571429	1
"Check-in"	0.571428571429	1
"Status Update"	0.571428571429	1
"Photo Album"	0.571428571429	1
"Photo"	0.571428571429	1
